Filename;Row;Col;Label
1.jpg;0;0;Grassland
1.jpg;0;1;Lake
1.jpg;0;2;Forest
1.jpg;0;3;Forest
1.jpg;0;4;Forest
1.jpg;1;0;Grassland
1.jpg;1;1;Forest
1.jpg;1;2;Forest
1.jpg;1;3;Forest
1.jpg;1;4;Grassland
1.jpg;2;0;Grassland
1.jpg;2;1;Swamp
1.jpg;2;2;Home
1.jpg;2;3;Forest
1.jpg;2;4;Grassland
1.jpg;3;0;Grassland
1.jpg;3;1;Swamp
1.jpg;3;2;Lake
1.jpg;3;3;Grassland
1.jpg;3;4;Grassland
1.jpg;4;0;Forest
1.jpg;4;1;Lake
1.jpg;4;2;Lake
1.jpg;4;3;Grassland
1.jpg;4;4;Field
10.jpg;0;0;Field
10.jpg;0;1;Mine
10.jpg;0;2;Mine
10.jpg;0;3;Mine
10.jpg;0;4;Empty
10.jpg;1;0;Lake
10.jpg;1;1;Forest
10.jpg;1;2;Swamp
10.jpg;1;3;Swamp
10.jpg;1;4;Empty
10.jpg;2;0;Lake
10.jpg;2;1;Lake
10.jpg;2;2;Home
10.jpg;2;3;Swamp
10.jpg;2;4;Field
10.jpg;3;0;Lake
10.jpg;3;1;Lake
10.jpg;3;2;Forest
10.jpg;3;3;Field
10.jpg;3;4;Field
10.jpg;4;0;Lake
10.jpg;4;1;Lake
10.jpg;4;2;Forest
10.jpg;4;3;Forest
10.jpg;4;4;Forest
11.jpg;0;0;Forest
11.jpg;0;1;Forest
11.jpg;0;2;Forest
11.jpg;0;3;Forest
11.jpg;0;4;Forest
11.jpg;1;0;Lake
11.jpg;1;1;Field
11.jpg;1;2;Field
11.jpg;1;3;Forest
11.jpg;1;4;Forest
11.jpg;2;0;Lake
11.jpg;2;1;Field
11.jpg;2;2;Field
11.jpg;2;3;Forest
11.jpg;2;4;Home
11.jpg;3;0;Lake
11.jpg;3;1;Grassland
11.jpg;3;2;Grassland
11.jpg;3;3;Forest
11.jpg;3;4;Forest
11.jpg;4;0;Empty
11.jpg;4;1;Empty
11.jpg;4;2;Grassland
11.jpg;4;3;Forest
11.jpg;4;4;Forest
12.jpg;0;0;Field
12.jpg;0;1;Field
12.jpg;0;2;Grassland
12.jpg;0;3;Grassland
12.jpg;0;4;Empty
12.jpg;1;0;Forest
12.jpg;1;1;Lake
12.jpg;1;2;Lake
12.jpg;1;3;Lake
12.jpg;1;4;Empty
12.jpg;2;0;Grassland
12.jpg;2;1;Grassland
12.jpg;2;2;Grassland
12.jpg;2;3;Forest
12.jpg;2;4;Lake
12.jpg;3;0;Grassland
12.jpg;3;1;Swamp
12.jpg;3;2;Grassland
12.jpg;3;3;Field
12.jpg;3;4;Lake
12.jpg;4;0;Swamp
12.jpg;4;1;Swamp
12.jpg;4;2;Home
12.jpg;4;3;Field
12.jpg;4;4;Lake
13.jpg;0;0;Empty
13.jpg;0;1;Mine
13.jpg;0;2;Field
13.jpg;0;3;Field
13.jpg;0;4;Grassland
13.jpg;1;0;Field
13.jpg;1;1;Grassland
13.jpg;1;2;Lake
13.jpg;1;3;Field
13.jpg;1;4;Forest
